"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLGBPUS","199210","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199211","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199212","309.372","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199213","309.372","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199301","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199302","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199303","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199304","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199305","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199306","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199307","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199308","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199309","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199310","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199311","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199312","310.148","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199313","310.148","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199401","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199402","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199403","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199404","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199405","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199406","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199407","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199408","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199409","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199410","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199411","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199412","311.415","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199413","311.415","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199501","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199502","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199503","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199504","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
"CLGBPUS","199505","Not Available","1","Coal, Net Summer Capacity ","Million Kilowatts"
