label,type,time,value
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 22:00:00","9.31"
"Zone J - NEW YORK CITY (DA)","price","2020-11-07 23:00:00","5.66"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 00:00:00","4.66"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 01:00:00","3.84"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 02:00:00","3.84"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 03:00:00","3.83"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 04:00:00","3.83"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 05:00:00","4.21"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 06:00:00","5.64"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 07:00:00","7.88"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 08:00:00","8.11"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 09:00:00","9.5"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 10:00:00","9.51"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 11:00:00","9.12"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 12:00:00","9"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 13:00:00","9.71"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 14:00:00","9.06"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 15:00:00","10.46"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 16:00:00","12.43"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 17:00:00","16.15"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 18:00:00","13.85"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 19:00:00","12.63"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 20:00:00","11.24"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 21:00:00","8.88"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 22:00:00","8.14"
"Zone J - NEW YORK CITY (DA)","price","2020-11-08 23:00:00","5.78"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 00:00:00","5.02"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 01:00:00","5.52"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 02:00:00","5.2"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 03:00:00","4.84"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 04:00:00","5.6"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 05:00:00","5.67"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 06:00:00","11.74"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 07:00:00","13.71"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 08:00:00","12.54"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 09:00:00","12.44"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 10:00:00","12.08"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 11:00:00","11.5"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 12:00:00","11.51"
"Zone J - NEW YORK CITY (DA)","price","2020-11-09 13:00:00","12.34"
