"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCASUS","202302","36.4","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202303","35.3","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202304","30.1","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202305","32.2","1","Coal Generating Units, Capacity Factor","Percent"
"CLCASUS","202306","44","1","Coal Generating Units, Capacity Factor","Percent"
"PACASUS","200801","7.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200802","8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200803","8.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200804","9.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200805","9.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200806","14.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200807","12.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200808","11.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200809","11.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200810","9.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200811","7.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200812","6.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200813","9.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200901","10.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200902","8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200903","7.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200904","9.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200905","10.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200906","11","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200907","11.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200908","12.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200909","10.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200910","7.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200911","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200912","5.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","200913","9.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201001","7.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201002","5.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201003","5.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201004","6.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201005","8.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201006","11.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201007","14.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201008","11.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201009","9.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201010","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201011","4.9","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201012","7.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201013","8.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201101","6.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201102","5.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201103","6.4","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201104","8.6","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201105","8.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201106","9.3","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201107","11.7","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201108","8.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201109","8.2","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201110","5.5","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201111","4.8","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201112","5.1","2","Petroleum Generating Units, Capacity Factor","Percent"
"PACASUS","201113","7.4","2","Petroleum Generating Units, Capacity Factor","Percent"
